Country,Population,Pollution,PollutionAccess,DeathsPollution,DeathsShare,PM25,OZONE,SmokeDaily,SmokeShare,Drinking,UnsafeWater,Calories,Fat,Sanitation,Overweight,Fertility,HealthExpenditure,HealthShare,Corruption,CorruptionPerception,Trust,TrustShare,TrustMedics,Literacy,HumanRights,PoliticalRegime,GiniIndex,EconomicFreedom,TotalDeaths,TotalCases,PopulationDensity,MedianAge,Aged65,Aged70,GDPpcp,Poverty,Cardiovascular,Diabetes,SmokersFemale,SmokersMale,HospBeds,LifeExpectancy,ReproductionRate,TotalVaccinations,FullVaccinations
KNA,53192,NaN,100,NaN,NaN,NaN,NaN,NaN,NaN,42.5,NaN,2492,97.33,NaN,52.7,NaN,1151.668769,2.14460502,NaN,NaN,NaN,NaN,NaN,97.800003,3.05041938,NaN,NaN,NaN,NaN,827.192,212.865,NaN,NaN,NaN,24654.385,NaN,NaN,12.84,NaN,NaN,2.3,76.23,NaN,16.12,NaN
KOR,51269183,28.68182353,96.68,21.69790199,5.79,19,63,24,23.3,44.8,0.04,3334,107.59,0.037923192,32.1,1.276,2530.571641,3.98524804,3.6,57,-0.099214643,62.70989972,86.97409807,97.965942,1.228568362,8,31.6,7.501501501,34.251,2085.034,527.967,43.4,13.914,8.622,35938.374,0.2,85.998,6.8,6.2,40.9,12.27,83.03,1.1,2.03,0.07
KWT,4270563,110.9572166,100,34.7858006,10.75,39,69,24.4,22.5,9.7,0.04,3501,105.84,0.018879723,72.1,1.986,2319.60465,2.61442253,NaN,41,NaN,NaN,74.08466941,96.117706,0.694287592,-7,NaN,6.762842638,321.503,56187.439,232.128,33.7,2.345,1.114,65530.537,NaN,132.235,15.84,2.7,37,2,75.49,1.02,11.71,0.89
LAO,7275556,27.67258925,5.62,119.6857083,11,NaN,NaN,27.299999,28.9,47.9,2.75,2451,51.28,18.10372979,22.6,2.758,98.46778237,0.94273375,NaN,29,NaN,NaN,81.4186853,79.867462,0.91023329,-7,36.4,6.897792969,NaN,6.735,29.715,24.4,4.029,2.322,6397.36,22.7,368.111,4,7.3,51.2,1.5,67.92,NaN,0.56,NaN
LBN,6825442,32.5648296,NaN,49.84311848,8.23,21,65,27,33.8,10.1,0.16,3066,89.66,0.061014376,66.9,1.72,987.3853296,3.0439246,4.6,28,NaN,30.62251417,82.8682476,94.051102,-0.23126407,6,31.8,7.0162559,949.243,70735.053,594.561,31.1,8.514,5.43,13367.565,NaN,266.591,12.71,26.9,40.7,2.9,78.93,0.94,2.21,1.38
LBR,5057677,17.33233534,0.71,113.1579596,7.47,NaN,NaN,6.3000002,9.8,30,6.83,2204,55.37,52.58065594,27.8,4.65,98.28589164,3.15924304,4.8,32,NaN,68.71309598,80.78118978,47.60014,0.978316668,6,33.2,6.558400412,16.806,403.743,49.127,19.2,3.057,1.756,752.788,38.6,272.509,2.42,1.5,18.1,0.8,64.1,0.1,NaN,NaN
LBY,6871287,63.71676049,NaN,72.78869192,8.88,16,60,15.4,NaN,2.4,0.11,NaN,NaN,0.324448835,65.7,2.312,806.2257448,3.65407916,3.5,17,NaN,37.76555148,77.0304847,91.38887,-1.975751432,0,NaN,4.773094763,402.399,23913.715,3.623,29,4.424,2.816,17881.509,NaN,341.862,10.43,NaN,NaN,3.7,72.91,1.06,NaN,NaN
LCA,183629,17.3478258,97.23,39.21108794,6.05,NaN,NaN,10.3,NaN,52.2,0.21,2595,82.87,0.611719464,48.3,1.471,698.2956305,3.59929525,NaN,55,NaN,NaN,NaN,90.099998,1.224225148,NaN,42.6,NaN,343.083,23400.443,293.187,34.9,9.721,6.405,12951.839,NaN,204.62,11.62,NaN,NaN,1.3,76.2,0.71,11.03,NaN
LIE,38137,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,100,4.369621513,NaN,NaN,NaN,1468.39,70718.725,237.012,NaN,NaN,NaN,NaN,NaN,NaN,7.77,NaN,NaN,2.397,82.49,1.31,NaN,NaN
LKA,21413250,25.63520757,26.33,38.46263658,6.67,2.4,36,12,13,18.3,0.4,2539,50.07,1.444005778,24.2,2.063,369.1741565,1.96395333,3.7,38,-0.27219585,60.8498355,92.52108552,92.614166,-0.526460575,6,39.2,6.489522916,27.366,4375.328,341.955,34.1,10.069,5.331,11669.077,0.7,197.093,10.68,0.3,27,3.6,76.98,0.79,4.32,NaN
LSO,2142252,26.91822469,35.61,151.9508533,6.83,NaN,NaN,16.700001,26.7,30,4.06,2529,43.47,57.37981373,33.2,3.143,276.0419317,8.0821676,NaN,41,NaN,NaN,NaN,79.360931,0.2225541,8,54.2,6.381731401,147.042,4998.011,73.562,22.2,4.506,2.647,2851.153,59.6,405.126,3.94,0.4,53.9,NaN,54.33,0.34,NaN,NaN
LTU,2722291,16.71785779,100,33.1730466,5.02,8.6,48,25.799999,28.8,65.3,0.01,3417,106.63,0.057136684,62.9,1.637,1718.02329,4.44688961,4.5,59,-0.17750166,40.29961181,83.14638155,99.82328,2.225502696,10,37.7,7.849591595,1330.864,81144.889,45.135,43.5,19.002,13.778,29524.265,0.7,342.989,3.67,21.3,38,6.56,75.93,1.19,14.86,6.59
LUX,625976,16.09727607,100,15.97749926,3.79,7.7,55,25.299999,23.5,93.9,0.01,3539,136.69,0.021957025,61.7,1.562,6812.080348,5.82283606,3.2,81,NaN,80.01320748,93.82644078,100,5.129846482,10,31.2,7.586641726,1215.702,100043.772,231.447,39.7,14.312,9.842,94277.965,0.2,128.275,4.42,20.9,26,4.51,82.25,0.62,13.36,4.04
LVA,1886202,14.58800713,95.28,34.25710938,5.2,7.8,45,29.1,37,67.7,0.01,3174,124.72,0.036281541,61.7,1.531,940.3024392,3.71523198,4.2,58,NaN,29.5952816,83.11969232,99.892693,2.059508776,8,35.1,7.642272018,1026.931,55419.833,31.212,43.9,19.754,14.136,25063.846,0.7,350.06,4.91,25.6,51,5.57,75.29,0.91,6.85,1.33
